contract_ref,contract_name,exhibit,setting,covered_entity,code_type,procedure_code,description,methodology_code,rate_basis,base_year,percentage,rvu,conversion_factor,units_note,allowed_2025,allowed_2026
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,92920,"Cardiovascular procedure, code 92920 (specimen)",RBRVS,130% MPFS,2025,130,10.52,32.7442,,447.81,461.24
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,92937,"Cardiovascular procedure, code 92937 (specimen)",RBRVS,130% MPFS,2025,130,21.82,32.7442,,928.82,956.68
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,92954,"Cardiovascular procedure, code 92954 (specimen)",RBRVS,130% MPFS,2025,130,9.98,32.7442,,424.82,437.56
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,92971,"Cardiovascular procedure, code 92971 (specimen)",RBRVS,130% MPFS,2025,130,17.51,32.7442,,745.36,767.72
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,92988,"Cardiovascular procedure, code 92988 (specimen)",RBRVS,130% MPFS,2025,130,21.39,32.7442,,910.52,937.84
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93005,"Cardiovascular procedure, code 93005 (specimen)",RBRVS,130% MPFS,2025,130,10.37,32.7442,,441.42,454.66
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93022,"Cardiovascular procedure, code 93022 (specimen)",RBRVS,130% MPFS,2025,130,21.16,32.7442,,900.73,927.75
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93039,"Cardiovascular procedure, code 93039 (specimen)",RBRVS,130% MPFS,2025,130,13.47,32.7442,,573.38,590.58
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93056,"Cardiovascular procedure, code 93056 (specimen)",RBRVS,130% MPFS,2025,130,18.76,32.7442,,798.57,822.53
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93073,"Cardiovascular procedure, code 93073 (specimen)",RBRVS,130% MPFS,2025,130,6.28,32.7442,,267.32,275.34
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93090,"Cardiovascular procedure, code 93090 (specimen)",RBRVS,130% MPFS,2025,130,26.43,32.7442,,1125.06,1158.81
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93107,"Cardiovascular procedure, code 93107 (specimen)",RBRVS,130% MPFS,2025,130,16.2,32.7442,,689.59,710.28
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93124,"Cardiovascular procedure, code 93124 (specimen)",RBRVS,130% MPFS,2025,130,3.48,32.7442,,148.13,152.57
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93141,"Cardiovascular procedure, code 93141 (specimen)",RBRVS,130% MPFS,2025,130,18.94,32.7442,,806.23,830.42
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93158,"Cardiovascular procedure, code 93158 (specimen)",RBRVS,130% MPFS,2025,130,8.03,32.7442,,341.82,352.07
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93175,"Cardiovascular procedure, code 93175 (specimen)",RBRVS,130% MPFS,2025,130,8.98,32.7442,,382.26,393.73
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93192,"Cardiovascular procedure, code 93192 (specimen)",RBRVS,130% MPFS,2025,130,25.11,32.7442,,1068.87,1100.94
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93209,"Cardiovascular procedure, code 93209 (specimen)",RBRVS,130% MPFS,2025,130,26.03,32.7442,,1108.03,1141.27
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93226,"Cardiovascular procedure, code 93226 (specimen)",RBRVS,130% MPFS,2025,130,8.0,32.7442,,340.54,350.76
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93243,"Cardiovascular procedure, code 93243 (specimen)",RBRVS,130% MPFS,2025,130,13.35,32.7442,,568.28,585.33
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93260,"Cardiovascular procedure, code 93260 (specimen)",RBRVS,130% MPFS,2025,130,15.71,32.7442,,668.73,688.79
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93277,"Cardiovascular procedure, code 93277 (specimen)",RBRVS,130% MPFS,2025,130,20.42,32.7442,,869.23,895.31
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93294,"Cardiovascular procedure, code 93294 (specimen)",RBRVS,130% MPFS,2025,130,19.99,32.7442,,850.92,876.45
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93311,"Cardiovascular procedure, code 93311 (specimen)",RBRVS,130% MPFS,2025,130,18.81,32.7442,,800.69,824.71
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93328,"Cardiovascular procedure, code 93328 (specimen)",RBRVS,130% MPFS,2025,130,18.16,32.7442,,773.03,796.22
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93345,"Cardiovascular procedure, code 93345 (specimen)",RBRVS,130% MPFS,2025,130,14.17,32.7442,,603.18,621.28
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93362,"Cardiovascular procedure, code 93362 (specimen)",RBRVS,130% MPFS,2025,130,19.38,32.7442,,824.96,849.71
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93379,"Cardiovascular procedure, code 93379 (specimen)",RBRVS,130% MPFS,2025,130,23.45,32.7442,,998.21,1028.16
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93396,"Cardiovascular procedure, code 93396 (specimen)",RBRVS,130% MPFS,2025,130,8.94,32.7442,,380.55,391.97
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93413,"Cardiovascular procedure, code 93413 (specimen)",RBRVS,130% MPFS,2025,130,14.38,32.7442,,612.12,630.48
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93430,"Cardiovascular procedure, code 93430 (specimen)",RBRVS,130% MPFS,2025,130,4.46,32.7442,,189.85,195.55
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93447,"Cardiovascular procedure, code 93447 (specimen)",RBRVS,130% MPFS,2025,130,14.49,32.7442,,616.80,635.30
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93464,"Cardiovascular procedure, code 93464 (specimen)",RBRVS,130% MPFS,2025,130,20.87,32.7442,,888.38,915.03
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93481,"Cardiovascular procedure, code 93481 (specimen)",RBRVS,130% MPFS,2025,130,7.73,32.7442,,329.05,338.92
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93498,"Cardiovascular procedure, code 93498 (specimen)",RBRVS,130% MPFS,2025,130,19.21,32.7442,,817.72,842.25
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93515,"Cardiovascular procedure, code 93515 (specimen)",RBRVS,130% MPFS,2025,130,14.08,32.7442,,599.35,617.33
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93532,"Cardiovascular procedure, code 93532 (specimen)",RBRVS,130% MPFS,2025,130,11.28,32.7442,,480.16,494.56
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93549,"Cardiovascular procedure, code 93549 (specimen)",RBRVS,130% MPFS,2025,130,24.81,32.7442,,1056.10,1087.78
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93566,"Cardiovascular procedure, code 93566 (specimen)",RBRVS,130% MPFS,2025,130,19.58,32.7442,,833.47,858.47
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93583,"Cardiovascular procedure, code 93583 (specimen)",RBRVS,130% MPFS,2025,130,22.84,32.7442,,972.24,1001.41
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93600,"Cardiovascular procedure, code 93600 (specimen)",RBRVS,130% MPFS,2025,130,21.27,32.7442,,905.41,932.57
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93617,"Cardiovascular procedure, code 93617 (specimen)",RBRVS,130% MPFS,2025,130,10.52,32.7442,,447.81,461.24
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93634,"Cardiovascular procedure, code 93634 (specimen)",RBRVS,130% MPFS,2025,130,23.97,32.7442,,1020.34,1050.95
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93651,"Cardiovascular procedure, code 93651 (specimen)",RBRVS,130% MPFS,2025,130,9.17,32.7442,,390.34,402.05
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93668,"Cardiovascular procedure, code 93668 (specimen)",RBRVS,130% MPFS,2025,130,9.17,32.7442,,390.34,402.05
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93685,"Cardiovascular procedure, code 93685 (specimen)",RBRVS,130% MPFS,2025,130,26.23,32.7442,,1116.54,1150.04
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93702,"Cardiovascular procedure, code 93702 (specimen)",RBRVS,130% MPFS,2025,130,25.67,32.7442,,1092.71,1125.49
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93719,"Cardiovascular procedure, code 93719 (specimen)",RBRVS,130% MPFS,2025,130,6.56,32.7442,,279.24,287.62
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93736,"Cardiovascular procedure, code 93736 (specimen)",RBRVS,130% MPFS,2025,130,8.91,32.7442,,379.28,390.66
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93753,"Cardiovascular procedure, code 93753 (specimen)",RBRVS,130% MPFS,2025,130,8.85,32.7442,,376.72,388.02
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93770,"Cardiovascular procedure, code 93770 (specimen)",RBRVS,130% MPFS,2025,130,11.17,32.7442,,475.48,489.74
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,93787,"Cardiovascular procedure, code 93787 (specimen)",RBRVS,130% MPFS,2025,130,21.6,32.7442,,919.46,947.04
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20005,"Musculoskeletal / Ortho procedure, code 20005 (specimen)",RBRVS,130% MPFS,2025,130,7.68,32.7442,,326.92,336.73
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20095,"Musculoskeletal / Ortho procedure, code 20095 (specimen)",RBRVS,130% MPFS,2025,130,19.58,32.7442,,833.47,858.47
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20185,"Musculoskeletal / Ortho procedure, code 20185 (specimen)",RBRVS,130% MPFS,2025,130,20.17,32.7442,,858.59,884.35
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20275,"Musculoskeletal / Ortho procedure, code 20275 (specimen)",RBRVS,130% MPFS,2025,130,17.94,32.7442,,763.66,786.57
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20365,"Musculoskeletal / Ortho procedure, code 20365 (specimen)",RBRVS,130% MPFS,2025,130,4.82,32.7442,,205.18,211.34
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20455,"Musculoskeletal / Ortho procedure, code 20455 (specimen)",RBRVS,130% MPFS,2025,130,17.82,32.7442,,758.55,781.31
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20545,"Musculoskeletal / Ortho procedure, code 20545 (specimen)",RBRVS,130% MPFS,2025,130,20.24,32.7442,,861.57,887.42
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20635,"Musculoskeletal / Ortho procedure, code 20635 (specimen)",RBRVS,130% MPFS,2025,130,11.47,32.7442,,488.25,502.90
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20725,"Musculoskeletal / Ortho procedure, code 20725 (specimen)",RBRVS,130% MPFS,2025,130,13.06,32.7442,,555.93,572.61
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20815,"Musculoskeletal / Ortho procedure, code 20815 (specimen)",RBRVS,130% MPFS,2025,130,25.9,32.7442,,1102.50,1135.58
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20905,"Musculoskeletal / Ortho procedure, code 20905 (specimen)",RBRVS,130% MPFS,2025,130,15.41,32.7442,,655.96,675.64
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,20995,"Musculoskeletal / Ortho procedure, code 20995 (specimen)",RBRVS,130% MPFS,2025,130,21.38,32.7442,,910.09,937.39
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21085,"Musculoskeletal / Ortho procedure, code 21085 (specimen)",RBRVS,130% MPFS,2025,130,24.56,32.7442,,1045.46,1076.82
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21175,"Musculoskeletal / Ortho procedure, code 21175 (specimen)",RBRVS,130% MPFS,2025,130,25.39,32.7442,,1080.79,1113.21
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21265,"Musculoskeletal / Ortho procedure, code 21265 (specimen)",RBRVS,130% MPFS,2025,130,25.22,32.7442,,1073.55,1105.76
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21355,"Musculoskeletal / Ortho procedure, code 21355 (specimen)",RBRVS,130% MPFS,2025,130,22.76,32.7442,,968.84,997.91
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21445,"Musculoskeletal / Ortho procedure, code 21445 (specimen)",RBRVS,130% MPFS,2025,130,9.86,32.7442,,419.72,432.31
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21535,"Musculoskeletal / Ortho procedure, code 21535 (specimen)",RBRVS,130% MPFS,2025,130,28.2,32.7442,,1200.40,1236.41
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21625,"Musculoskeletal / Ortho procedure, code 21625 (specimen)",RBRVS,130% MPFS,2025,130,28.15,32.7442,,1198.27,1234.22
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21715,"Musculoskeletal / Ortho procedure, code 21715 (specimen)",RBRVS,130% MPFS,2025,130,12.76,32.7442,,543.16,559.45
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21805,"Musculoskeletal / Ortho procedure, code 21805 (specimen)",RBRVS,130% MPFS,2025,130,26.47,32.7442,,1126.76,1160.56
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21895,"Musculoskeletal / Ortho procedure, code 21895 (specimen)",RBRVS,130% MPFS,2025,130,8.17,32.7442,,347.78,358.21
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,21985,"Musculoskeletal / Ortho procedure, code 21985 (specimen)",RBRVS,130% MPFS,2025,130,25.09,32.7442,,1068.02,1100.06
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22075,"Musculoskeletal / Ortho procedure, code 22075 (specimen)",RBRVS,130% MPFS,2025,130,26.15,32.7442,,1113.14,1146.53
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22165,"Musculoskeletal / Ortho procedure, code 22165 (specimen)",RBRVS,130% MPFS,2025,130,10.12,32.7442,,430.78,443.70
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22255,"Musculoskeletal / Ortho procedure, code 22255 (specimen)",RBRVS,130% MPFS,2025,130,27.33,32.7442,,1163.37,1198.27
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22345,"Musculoskeletal / Ortho procedure, code 22345 (specimen)",RBRVS,130% MPFS,2025,130,29.44,32.7442,,1253.19,1290.79
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22435,"Musculoskeletal / Ortho procedure, code 22435 (specimen)",RBRVS,130% MPFS,2025,130,12.98,32.7442,,552.53,569.11
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22525,"Musculoskeletal / Ortho procedure, code 22525 (specimen)",RBRVS,130% MPFS,2025,130,8.71,32.7442,,370.76,381.88
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22615,"Musculoskeletal / Ortho procedure, code 22615 (specimen)",RBRVS,130% MPFS,2025,130,10.53,32.7442,,448.24,461.69
HM-KHS-2025-0417,Highmark - Keystone Health System (Commercial PPO),C.1 Professional,Professional,Keystone Cardiology (org),CPT,22705,"Musculoskeletal / Ortho procedure, code 22705 (specimen)",RBRVS,130% MPFS,2025,130,27.47,32.7442,,1169.33,1204.41
